LAD19CD,Name,Latest infection rate,Mean infection rate over last 3 weeks,upper,lower,Clinically extremely vulnerable,Extent,Percentage of population who are white UK born,Percentage of population who are white not UK born,Percentage of population who are ethnic minority UK born,Percentage of population who are ethnic minority not UK born,Dispersed Accommodation,Subsistence Only,People receiving Section 95 support,LAD19NM,Furlough count,Furlough rate,Homelessness
E07000221,Stratford-on-Avon,NA,NA,NA,NA,4850,5e-4,90,9.7,NA,NA,NA,NA,NA,Stratford-on-Avon,21200,0.35,2.583
E07000222,Warwick,NA,NA,NA,NA,4955,0.0194,80.7,10.1,5.6,3.6,0,1,1,Warwick,21300,0.31,2.335
E07000223,Adur,NA,NA,NA,NA,2560,0.0789,85.6,2.2,8.5,3.7,0,5,5,Adur,9000,0.32,0.933
E07000224,Arun,NA,NA,NA,NA,8175,0.1053,92.1,4.8,1.9,1.2,0,2,2,Arun,23200,0.33,3.105
E07000225,Chichester,NA,NA,NA,NA,5420,0.0114,91.3,5.2,NA,2.9,9,5,14,Chichester,16800,0.33,0.72
E07000226,Crawley,NA,NA,NA,NA,3940,0.0394,66.3,8.7,11.3,13.7,0,2,2,Crawley,25800,0.41,4.434
E07000227,Horsham,NA,NA,NA,NA,4915,0.0021,87.3,6.3,4.1,2.3,0,1,1,Horsham,21400,0.32,1.498
E07000228,Mid Sussex,NA,NA,NA,NA,5220,0.0031,89.6,4.9,2.1,3.5,0,1,1,Mid Sussex,21900,0.31,0.654
E07000229,Worthing,NA,NA,NA,NA,3860,0.0718,83.8,7.4,2.6,6.2,NA,NA,NA,Worthing,14900,0.3,1.104
E07000234,Bromsgrove,NA,NA,NA,NA,3175,0.0247,90.1,3.5,5.7,NA,NA,NA,NA,Bromsgrove,14400,0.32,1.675
E07000235,Malvern Hills,NA,NA,NA,NA,2680,0.056,94.8,4,NA,NA,NA,NA,NA,Malvern Hills,10400,0.33,1.113
E07000236,Redditch,NA,NA,NA,NA,2805,0.2596,90.9,6.4,1.6,1.2,0,6,6,Redditch,15500,0.36,3.23
E07000237,Worcester,NA,NA,NA,NA,2865,0.187,87.2,6.1,3.3,3.5,NA,NA,NA,Worcester,17400,0.33,3.6
E07000238,Wychavon,NA,NA,NA,NA,4705,0.0382,90.9,5,2.1,1.9,NA,NA,NA,Wychavon,19200,0.32,2.489
E07000239,Wyre Forest,NA,NA,NA,NA,3470,0.2103,97.3,NA,1.8,NA,0,2,2,Wyre Forest,15600,0.36,3.657
E07000240,St Albans,NA,NA,NA,NA,4110,0.0012,78.7,5.8,8.4,7.1,5,5,10,St Albans,18000,0.26,2.177
E07000241,Welwyn Hatfield,NA,NA,NA,NA,6290,0.0232,76.9,7.8,6.5,8.8,8,4,12,Welwyn Hatfield,16500,0.28999999999999998,3.389
E07000242,East Hertfordshire,NA,NA,NA,NA,5865,9e-4,87.9,7.1,2.8,2.3,NA,NA,NA,East Hertfordshire,22600,0.31,0.915
E07000243,Stevenage,NA,NA,NA,NA,2950,0.0537,81.9,4.7,4.5,8.8,NA,NA,NA,Stevenage,12400,0.27,1.61
E07000244,East Suffolk,NA,NA,NA,NA,14070,0.1238,91.9,3.7,1.4,3,3,5,8,East Suffolk,31200,0.31,0.4725
E07000245,West Suffolk,NA,NA,NA,NA,7610,0.0308,85.8,7.3,2.5,4.3,1,0,1,West Suffolk,24700,0.31,3.126333333333333
E07000246,Somerset West and Taunton,NA,NA,NA,NA,6155,0.0894,92.6,4.4,1.4,1.6,NA,NA,NA,Somerset West and Taunton,20900,0.31,2.1251052631578946
E08000001,Bolton,175.21,133.62666666666667,187.66893931811364,79.58439401521969,15865,0.4315,69.5,2.7,14.9,12.9,911,27,938,Bolton,41100,0.33,1.751
E08000002,Bury,75.22,57.86333333333333,83.93714075252957,31.789525914137084,9640,0.2416,83,3.2,7.8,5.9,429,3,432,Bury,27900,0.32,2.736
E08000003,Manchester,70.49,61.35666666666666,76.23360631611519,46.479727017218146,19535,0.5999,56.6,6.4,15.8,21.2,780,124,904,Manchester,79900,0.33,5.222
E08000004,Oldham,106.53,79.65,102.94427612097016,56.35572387902986,9705,0.479,70.3,2.5,16.5,10.7,679,23,702,Oldham,32000,0.32,1.016
E08000005,Rochdale,77.27,63.79,80.8935902663739,46.6864097336261,8130,0.4758,69.7,4.1,14.5,11.7,839,10,849,Rochdale,29200,0.31,3.024
E08000006,Salford,78.61,65.51,86.52531822266796,44.49468177733205,11485,0.472,77.9,8.1,4.8,9.2,769,25,794,Salford,42400,0.34,3.759
E08000007,Stockport,41.13,28.333333333333336,43.92330553771309,12.743361128953582,11230,0.1745,88.6,3.2,5,3.2,138,14,152,Stockport,42200,0.31,1.592
